Data Type;HTS Number;Year;Month;Description;Quantity Description;General First Unit of Quantity;Suppressed
General Import Charges;4011;1992;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11806198.00;
General Import Charges;4011;1993;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13668660.00;
General Import Charges;4011;1994;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14722427.00;
General Import Charges;4011;1995;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14799140.00;
General Import Charges;4011;1996;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13338019.00;
General Import Charges;4011;1997;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12798680.00;
General Import Charges;4011;1998;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;18366939.00;
General Import Charges;4011;1999;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;23724018.00;
General Import Charges;4011;2000;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;26334612.00;
General Import Charges;4011;2001;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;21935215.00;
General Import Charges;4011;2002;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;23402065.00;
General Import Charges;4011;2003;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;32499690.00;
General Import Charges;4011;2004;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;39655103.00;
General Import Charges;4011;2005;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;48711124.00;
General Import Charges;4011;2006;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;50354490.00;
General Import Charges;4011;2007;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;54493724.00;
General Import Charges;4011;2008;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;53422340.00;
General Import Charges;4011;2009;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;36126220.00;
General Import Charges;4011;2010;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;57777492.00;
General Import Charges;4011;2011;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;57004745.00;
General Import Charges;4011;2012;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;57883369.00;
General Import Charges;4011;2013;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;63631057.00;
General Import Charges;4011;2014;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;68649714.00;
General Import Charges;4011;2015;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;83252206.00;
General Import Charges;4011;2016;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;64513788.00;
General Import Charges;4011;2017;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;66678415.00;
General Import Charges;4011;2018;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;66068432.00;
General Import Charges;4011;2019;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;66159883.00;
General Import Charges;4011;2020;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;43880650.00;
General Import Charges;4011;2021;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;124261928.00;
General Import Charges;4011;2022;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;251896629.00;
General Import Charges;4011;2023;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;93619693.00;
General Import Charges;4011;2024;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;87711809.00;
General Import Charges;4011;2025;6;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;103746267.00;
General Import Charges;4011;1989;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14597672.00;
General Import Charges;4011;1990;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14360200.00;
General Import Charges;4011;1991;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11345374.00;
General Import Charges;4011;1992;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12389366.00;
General Import Charges;4011;1993;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14090545.00;
General Import Charges;4011;1994;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14231301.00;
General Import Charges;4011;1995;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13316606.00;
General Import Charges;4011;1996;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12805611.00;
General Import Charges;4011;1997;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14070027.00;
General Import Charges;4011;1998;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;16688952.00;
General Import Charges;4011;1999;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;25415861.00;
General Import Charges;4011;2000;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;26352783.00;
General Import Charges;4011;2001;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;23071877.00;
General Import Charges;4011;2002;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;24802647.00;
General Import Charges;4011;2003;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;36158867.00;
General Import Charges;4011;2004;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;39744489.00;
General Import Charges;4011;2005;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;49022481.00;
General Import Charges;4011;2006;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;49038055.00;
General Import Charges;4011;2007;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;57035173.00;
General Import Charges;4011;2008;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;53864784.00;
General Import Charges;4011;2009;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;37769963.00;
General Import Charges;4011;2010;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;57841624.00;
General Import Charges;4011;2011;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;54141726.00;
General Import Charges;4011;2012;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;60318472.00;
General Import Charges;4011;2013;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;65710117.00;
General Import Charges;4011;2014;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;74159884.00;
General Import Charges;4011;2015;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;89552062.00;
General Import Charges;4011;2016;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;57050380.00;
General Import Charges;4011;2017;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;64710386.00;
General Import Charges;4011;2018;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;68701972.00;
General Import Charges;4011;2019;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;77817581.00;
General Import Charges;4011;2020;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;59225615.00;
General Import Charges;4011;2021;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;133281918.00;
General Import Charges;4011;2022;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;240468942.00;
General Import Charges;4011;2023;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;94365193.00;
General Import Charges;4011;2024;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;102636645.00;
General Import Charges;4011;2025;7;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;118714896.00;
General Import Charges;4011;1989;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;15353935.00;
General Import Charges;4011;1990;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11951791.00;
General Import Charges;4011;1991;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;9722518.00;
General Import Charges;4011;1992;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;10937599.00;
General Import Charges;4011;1993;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12349218.00;
General Import Charges;4011;1994;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14637624.00;
General Import Charges;4011;1995;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13606870.00;
General Import Charges;4011;1996;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12379829.00;
General Import Charges;4011;1997;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13589934.00;
General Import Charges;4011;1998;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;16837274.00;
General Import Charges;4011;1999;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;23448543.00;
General Import Charges;4011;2000;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;26008278.00;
General Import Charges;4011;2001;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;21473057.00;
General Import Charges;4011;2002;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;23695717.00;
General Import Charges;4011;2003;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;32182726.00;
General Import Charges;4011;2004;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;39647250.00;
General Import Charges;4011;2005;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;49050892.00;
General Import Charges;4011;2006;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;47990056.00;
General Import Charges;4011;2007;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;54155770.00;
General Import Charges;4011;2008;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;50758277.00;
General Import Charges;4011;2009;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;36887057.00;
General Import Charges;4011;2010;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;63252554.00;
General Import Charges;4011;2011;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;56021662.00;
General Import Charges;4011;2012;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;54483654.00;
General Import Charges;4011;2013;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;64506724.00;
General Import Charges;4011;2014;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;74224570.00;
General Import Charges;4011;2015;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;71993968.00;
General Import Charges;4011;2016;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;64268528.00;
General Import Charges;4011;2017;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;66279002.00;
General Import Charges;4011;2018;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;70999988.00;
General Import Charges;4011;2019;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;72285379.00;
General Import Charges;4011;2020;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;75003986.00;
General Import Charges;4011;2021;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;148946218.00;
General Import Charges;4011;2022;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;245154700.00;
General Import Charges;4011;2023;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;98065406.00;
General Import Charges;4011;2024;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;107850551.00;
General Import Charges;4011;2025;8;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;118026050.00;
General Import Charges;4011;1989;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11939863.00;
General Import Charges;4011;1990;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;9820671.00;
General Import Charges;4011;1991;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;9570826.00;
General Import Charges;4011;1992;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;10390233.00;
General Import Charges;4011;1993;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13243976.00;
General Import Charges;4011;1994;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14169930.00;
General Import Charges;4011;1995;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12110603.00;
General Import Charges;4011;1996;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11242044.00;
General Import Charges;4011;1997;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14375836.00;
General Import Charges;4011;1998;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;16303768.00;
General Import Charges;4011;1999;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;23123133.00;
General Import Charges;4011;2000;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;22988945.00;
General Import Charges;4011;2001;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;19648499.00;
General Import Charges;4011;2002;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;21205320.00;
General Import Charges;4011;2003;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;31087632.00;
General Import Charges;4011;2004;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;37623535.00;
General Import Charges;4011;2005;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;43722766.00;
General Import Charges;4011;2006;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;43168106.00;
General Import Charges;4011;2007;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;51531439.00;
General Import Charges;4011;2008;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;55819195.00;
General Import Charges;4011;2009;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;38317924.00;
General Import Charges;4011;2010;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;61739987.00;
General Import Charges;4011;2011;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;51214098.00;
General Import Charges;4011;2012;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;51832704.00;
General Import Charges;4011;2013;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;59193405.00;
General Import Charges;4011;2014;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;74440252.00;
General Import Charges;4011;2015;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;68422549.00;
General Import Charges;4011;2016;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;54206236.00;
General Import Charges;4011;2017;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;61733791.00;
General Import Charges;4011;2018;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;64720795.00;
General Import Charges;4011;2019;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;68282926.00;
General Import Charges;4011;2020;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;81374657.00;
General Import Charges;4011;2021;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;150998969.00;
General Import Charges;4011;2022;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;221431202.00;
General Import Charges;4011;2023;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;96782804.00;
General Import Charges;4011;2024;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;115979741.00;
General Import Charges;4011;2025;9;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;109794441.00;
General Import Charges;4011;1989;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13589072.00;
General Import Charges;4011;1990;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11539952.00;
General Import Charges;4011;1991;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;10213187.00;
General Import Charges;4011;1992;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11566806.00;
General Import Charges;4011;1993;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12184384.00;
General Import Charges;4011;1994;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14442960.00;
General Import Charges;4011;1995;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12630971.00;
General Import Charges;4011;1996;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12417023.00;
General Import Charges;4011;1997;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;15266347.00;
General Import Charges;4011;1998;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;17498538.00;
General Import Charges;4011;1999;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;25884912.00;
General Import Charges;4011;2000;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;23938026.00;
General Import Charges;4011;2001;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;22082406.00;
General Import Charges;4011;2002;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;21108821.00;
General Import Charges;4011;2003;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;32223368.00;
General Import Charges;4011;2004;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;41337316.00;
General Import Charges;4011;2005;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;48141887.00;
General Import Charges;4011;2006;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;47115608.00;
General Import Charges;4011;2007;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;54062632.00;
General Import Charges;4011;2008;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;53194603.00;
General Import Charges;4011;2009;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;31089503.00;
General Import Charges;4011;2010;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;59856437.00;
General Import Charges;4011;2011;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;49343895.00;
General Import Charges;4011;2012;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;58881446.00;
General Import Charges;4011;2013;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;59922626.00;
General Import Charges;4011;2014;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;73004019.00;
General Import Charges;4011;2015;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;66052890.00;
General Import Charges;4011;2016;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;55552353.00;
General Import Charges;4011;2017;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;62920160.00;
General Import Charges;4011;2018;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;73988502.00;
General Import Charges;4011;2019;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;76473619.00;
General Import Charges;4011;2020;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;91250370.00;
General Import Charges;4011;2021;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;160845079.00;
General Import Charges;4011;2022;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;202461242.00;
General Import Charges;4011;2023;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;109130964.00;
General Import Charges;4011;2024;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;114290463.00;
General Import Charges;4011;2025;10;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;104769460.00;
General Import Charges;4011;1989;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13532548.00;
General Import Charges;4011;1990;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;10988178.00;
General Import Charges;4011;1991;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;9068689.00;
General Import Charges;4011;1992;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;10464265.00;
General Import Charges;4011;1993;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11937019.00;
General Import Charges;4011;1994;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14604899.00;
General Import Charges;4011;1995;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12345650.00;
General Import Charges;4011;1996;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11559241.00;
General Import Charges;4011;1997;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14292292.00;
General Import Charges;4011;1998;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;16280807.00;
General Import Charges;4011;1999;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;27000326.00;
General Import Charges;4011;2000;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;22106557.00;
General Import Charges;4011;2001;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;20795388.00;
General Import Charges;4011;2002;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;22420325.00;
General Import Charges;4011;2003;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;29459892.00;
General Import Charges;4011;2004;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;41838059.00;
General Import Charges;4011;2005;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;46157295.00;
General Import Charges;4011;2006;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;47388323.00;
General Import Charges;4011;2007;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;55071189.00;
General Import Charges;4011;2008;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;51338745.00;
General Import Charges;4011;2009;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;33929970.00;
General Import Charges;4011;2010;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;61757193.00;
General Import Charges;4011;2011;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;49920293.00;
General Import Charges;4011;2012;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;55257218.00;
General Import Charges;4011;2013;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;58611525.00;
General Import Charges;4011;2014;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;69822185.00;
General Import Charges;4011;2015;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;67041501.00;
General Import Charges;4011;2016;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;65334144.00;
General Import Charges;4011;2017;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;65576366.00;
General Import Charges;4011;2018;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;72863852.00;
General Import Charges;4011;2019;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;67215934.00;
General Import Charges;4011;2020;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;98094416.00;
General Import Charges;4011;2021;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;174675897.00;
General Import Charges;4011;2022;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;166202596.00;
General Import Charges;4011;2023;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;96938406.00;
General Import Charges;4011;2024;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;107825923.00;
General Import Charges;4011;2025;11;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;104386632.00;
General Import Charges;4011;1989;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13169440.00;
General Import Charges;4011;1990;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11697938.00;
General Import Charges;4011;1991;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;9777085.00;
General Import Charges;4011;1992;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11978475.00;
General Import Charges;4011;1993;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12939609.00;
General Import Charges;4011;1994;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;14930262.00;
General Import Charges;4011;1995;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;11821642.00;
General Import Charges;4011;1996;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;12662675.00;
General Import Charges;4011;1997;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;13752930.00;
General Import Charges;4011;1998;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;19009215.00;
General Import Charges;4011;1999;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;26443913.00;
General Import Charges;4011;2000;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;20878975.00;
General Import Charges;4011;2001;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;19550704.00;
General Import Charges;4011;2002;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;27672687.00;
General Import Charges;4011;2003;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;34813960.00;
General Import Charges;4011;2004;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;43254155.00;
General Import Charges;4011;2005;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;46872638.00;
General Import Charges;4011;2006;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;46778463.00;
General Import Charges;4011;2007;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;54058287.00;
General Import Charges;4011;2008;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;46269083.00;
General Import Charges;4011;2009;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;36934812.00;
General Import Charges;4011;2010;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;59997935.00;
General Import Charges;4011;2011;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;51045421.00;
General Import Charges;4011;2012;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;53018320.00;
General Import Charges;4011;2013;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;58750468.00;
General Import Charges;4011;2014;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;62994659.00;
General Import Charges;4011;2015;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;69266914.00;
General Import Charges;4011;2016;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;70112315.00;
General Import Charges;4011;2017;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;66875708.00;
General Import Charges;4011;2018;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;85925556.00;
General Import Charges;4011;2019;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;71823062.00;
General Import Charges;4011;2020;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;100096542.00;
General Import Charges;4011;2021;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;185438584.00;
General Import Charges;4011;2022;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;146518335.00;
General Import Charges;4011;2023;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;100778931.00;
General Import Charges;4011;2024;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;107067885.00;
General Import Charges;4011;2025;12;NEW PNEUMATIC TIRES, OF RUBBER;Value for: number;106042286.00;
Total: ;;;;;;23,071,207,688;
